,Geography,Asian,Black,Mixed,Other,White
0,Avon and Somerset,33005,30923,28277,15380,1491970
1,Bedfordshire,81480,29725,18456,8753,476647
2,Cambridgeshire,39535,10174,16029,12572,726531
3,Cheshire,12794,3264,10423,5230,995998
4,Cleveland,17419,3156,5762,4434,526456
5,Cumbria,2913,579,2504,1605,492257
6,Derbyshire,36871,10090,14351,7281,949845
7,Devon and Cornwall,11694,4106,15645,9467,1627306
8,Dorset,10694,3208,9507,5995,714637
9,Durham,5114,1058,4240,3030,605364
10,Dyfed-Powys,4274,856,3262,2008,504714
11,Essex,38954,34679,27635,15374,1608308
12,Gloucestershire,10522,5150,8661,3004,569647
13,Greater Manchester,246094,74097,60710,53504,2248123
14,Gwent,10076,3185,5547,3569,554377
15,Hampshire,57352,17445,30905,20911,1771378
16,Hertfordshire,64119,31401,27497,15550,977495
17,Humberside,12191,4499,8185,7493,885279
18,Kent,54186,22879,27283,15636,1607681
19,Lancashire,108784,5377,16300,10397,1320035
20,Leicestershire,155740,24623,20520,19110,797704
21,Lincolnshire,5579,2561,6190,2839,696484
22,Merseyside,18851,14552,20954,21529,1305303
23,Metropolitan Police,1386619,1088447,404990,404874,4881636
24,Norfolk,9809,4609,10027,5425,828018
25,North Wales,6336,1497,4950,4450,670704
26,North Yorkshire,9914,3618,7456,6233,769206
27,Northamptonshire,22581,16923,14182,5444,632822
28,Northumbria,37782,9006,12447,17871,1343747
29,Nottinghamshire,48248,27287,30981,15465,969501
30,South Wales,35804,12738,17762,18889,1198458
31,South Yorkshire,54660,25752,20791,24745,1217653
32,Staffordshire,35148,8551,14095,7376,1032327
33,Suffolk,10972,6854,12472,4670,693195
34,Surrey,54037,12430,23554,18687,1023682
35,Sussex,40865,14246,30036,16352,1505433
36,Thames Valley,192541,69013,55986,32586,1919646
37,Warwickshire,22747,4443,7949,4647,505688
38,West Mercia,21715,5062,13466,5657,1176516
39,West Midlands,493551,164069,96204,63498,1919138
40,West Yorkshire,280764,46476,48126,30874,1819818
41,Wiltshire,17379,6089,9794,4006,642869
